County,Year,Accidents (unintentional injuries),Alzheimer's disease,Assault (homicide),Cerebrovascular diseases,Chronic liver disease and cirrhosis,Chronic lower respiratory diseases,Diabetes mellitus,Diseases of heart,Essential hypertension and hypertensive renal disease,Influenza and pneumonia,Intentional self-harm (suicide),Malignant neoplasms,"Nephritis, nephrotic syndrome and nephrosis",Parkinson's disease
Tehama,2016,221.0,168.0,0.0,106.0,70.0,342.0,31.0,821.0,0.0,0.0,36.0,665.0,0.0,0.0
Tehama,2017,116.0,150.0,0.0,76.0,25.0,164.0,14.0,722.0,0.0,0.0,0.0,799.0,0.0,0.0
Tehama,2018,209.0,87.0,0.0,87.0,11.0,266.0,97.0,975.0,13.0,15.0,76.0,823.0,0.0,0.0
Tehama,2019,209.0,118.0,0.0,50.0,93.0,168.0,33.0,906.0,0.0,29.0,24.0,793.0,0.0,0.0
Trinity,2014,26.0,0.0,0.0,0.0,0.0,23.0,0.0,199.0,0.0,0.0,0.0,44.0,0.0,0.0
Trinity,2015,13.0,0.0,0.0,0.0,0.0,15.0,0.0,126.0,0.0,0.0,0.0,116.0,0.0,0.0
Trinity,2016,35.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,92.0,0.0,0.0
Trinity,2017,11.0,0.0,0.0,0.0,0.0,22.0,0.0,146.0,0.0,0.0,0.0,36.0,0.0,0.0
Trinity,2018,25.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,63.0,0.0,0.0
Trinity,2019,74.0,0.0,0.0,0.0,0.0,0.0,0.0,159.0,0.0,0.0,0.0,165.0,0.0,0.0
Tulare,2014,838.0,499.0,123.0,803.0,407.0,932.0,591.0,4028.0,405.0,556.0,240.0,3146.0,202.0,45.0
Tulare,2015,966.0,577.0,127.0,923.0,351.0,883.0,691.0,4540.0,634.0,454.0,266.0,3547.0,139.0,63.0
